dnarun_name	germplasm_name	germplasm_pedigree	germplasm_type	germplasm_par1	germplasm_par1_type	germplasm_par2	germplasm_par2_type	dnasample_sample_group	dnasample_sample_group_cycle	ref_value
12531-12	12531		F1					12531		1
12531-2	12531		F1					12531		1
12531-3	12531		F1					12531		1
12531-4	12531		F1					12531		1
12531-5	12531		F1					12531		1
12531-6	12531		F1					12531		1
12531-7	12531		F1					12531		1
12531-8	12531		F1					12531		0
12531-9	12531		F1					12531		1
12532-1	12532		F1					12532		1
12532-10	12532		F1					12532		0
12532-2	12532		F1					12532		0
12532-3	12532		F1					12532		0
12532-4	12532		F1					12532		0
12532-5	12532		F1					12532		1
12532-6	12532		F1					12532		1
12532-7	12532		F1					12532		1
12532-8	12532		F1					12532		0
12532-9	12532		F1					12532		0
12533-1	12533		F1					12533		0
12533-10	12533		F1					12533		0
12533-11	12533		F1					12533		0
12533-12	12533		F1					12533		1
12533-2	12533		F1					12533		0
12533-3	12533		F1					12533		0
12533-4	12533		F1					12533		1
12533-5	12533		F1					12533		0
12533-6	12533		F1					12533		1
12533-7	12533		F1					12533		0
12533-8	12533		F1					12533		0
12533-9	12533		F1					12533		1
12534-1	12534		F1					12534		1
12534-10	12534		F1					12534		0
12534-11	12534		F1					12534		0
12534-12	12534		F1					12534		1
12534-2	12534		F1					12534		0
12534-3	12534		F1					12534		0
12534-4	12534		F1					12534		0
12534-5	12534		F1					12534		0
12534-6	12534		F1					12534		0
12534-7	12534		F1					12534		0
12534-8	12534		F1					12534		0
12534-9	12534		F1					12534		1
12535-1	12535		F1					12535		0
12535-10	12535		F1					12535		1
12535-11	12535		F1					12535		0
12535-12	12535		F1					12535		1
12535-2	12535		F1					12535		0
12535-3	12535		F1					12535		1
12535-4	12535		F1					12535		1
12535-5	12535		F1					12535		1
12535-6	12535		F1					12535		1
12535-7	12535		F1					12535		0
12535-8	12535		F1					12535		1
12535-9	12535		F1					12535		0
12536-1	12536		F1					12536		1
12536-10	12536		F1					12536		1
12536-11	12536		F1					12536		1
12536-12	12536		F1					12536		0
12536-2	12536		F1					12536		1
12536-3	12536		F1					12536		1
12536-4	12536		F1					12536		1
12536-5	12536		F1					12536		0
12536-6	12536		F1					12536		0
12536-7	12536		F1					12536		1
12536-8	12536		F1					12536		1
12536-9	12536		F1					12536		1
12537-1	12537		F1					12537		1
12537-10	12537		F1					12537		1
12537-11	12537		F1					12537		0
12537-12	12537		F1					12537		1
12537-2	12537		F1					12537		1
12537-3	12537		F1					12537		1
12537-4	12537		F1					12537		0
12537-5	12537		F1					12537		1
12537-6	12537		F1					12537		0
12537-7	12537		F1					12537		1
12537-8	12537		F1					12537		1
12537-9	12537		F1					12537		1
12538-1	12538		F1					12538		0
12538-10	12538		F1					12538		0
12538-11	12538		F1					12538		0
12538-12	12538		F1					12538		0
12538-2	12538		F1					12538		1
12538-3	12538		F1					12538		1
12538-4	12538		F1					12538		1
12538-5	12538		F1					12538		0
12538-6	12538		F1					12538		1
12538-7	12538		F1					12538		0
12538-8	12538		F1					12538		1
12538-9	12538		F1					12538		1
